Logger:         	MadelineProto
Logger:         	Copyright (C) 2016-2023 Daniil Gentili
Logger:         	Licensed under AGPLv3
Logger:         	https://github.com/danog/MadelineProto
Serialization:  	Got exclusive session lock!
DataCenter, 5627920568:     	Disconnecting all before reconnect!
DataCenter, 5627920568:     	Disconnecting all before reconnect!
DataCenter, 5627920568:     	Disconnecting all before reconnect!
DataCenter, 5627920568:     	Disconnecting all before reconnect!
DataCenter, 5627920568:     	Disconnecting all before reconnect!
DataCenter, 5627920568:     	Disconnecting all before reconnect!
DataCenter, 5627920568:     	Disconnecting all before reconnect!
DataCenter, 5627920568:     	Reconnecting to DC 1 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://149.154.175.54:443 main DC 1, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5627920568:     	Connecting to DC 1.0
Session, 5627920568:        	Resetting session in DC 1.0...
DataCenter, 5627920568:     	Reconnecting to DC 2 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://149.154.167.41:443 main DC 2, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5627920568:     	Connecting to DC 2.0
Session, 5627920568:        	Resetting session in DC 2.0...
DataCenter, 5627920568:     	Reconnecting to DC -2 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://149.154.167.151:443 main DC -2, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5627920568:     	Connecting to DC -2.0
Session, 5627920568:        	Resetting session in DC -2.0...
DataCenter, 5627920568:     	Reconnecting to DC 3 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://149.154.175.100:443 main DC 3, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5627920568:     	Connecting to DC 3.0
Session, 5627920568:        	Resetting session in DC 3.0...
DataCenter, 5627920568:     	Reconnecting to DC 4 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://149.154.167.91:443 main DC 4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5627920568:     	Connecting to DC 4.0
Session, 5627920568:        	Resetting session in DC 4.0...
DataCenter, 5627920568:     	Reconnecting to DC -4 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://149.154.165.96:443 main DC -4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5627920568:     	Connecting to DC -4.0
Session, 5627920568:        	Resetting session in DC -4.0...
DataCenter, 5627920568:     	Reconnecting to DC 5 (-1) from existing
DataCenterConnection, 5627920568: 	Trying shared connection via tcp://91.108.56.199:443 main DC 5, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5627920568:     	Connecting to DC 5.0
Session, 5627920568:        	Resetting session in DC 5.0...
Connection, 5627920568:     	Connected to DC -2.0!
DataCenterConnection, 5627920568: 	Restoring 0 messages to DC -2
DataCenterConnection, 5627920568: 	Flushing pending messages, DC -2
DataCenter, 5627920568:     	OK!
Connection, 5627920568:     	Connected to DC 4.0!
DataCenterConnection, 5627920568: 	Restoring 0 messages to DC 4
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 4
DataCenter, 5627920568:     	OK!
Connection, 5627920568:     	Connected to DC -4.0!
DataCenterConnection, 5627920568: 	Restoring 0 messages to DC -4
DataCenterConnection, 5627920568: 	Flushing pending messages, DC -4
DataCenter, 5627920568:     	OK!
PingLoop, 5627920568:       	Ping DC 4.0
Connection, 5627920568:     	Connected to DC 2.0!
DataCenterConnection, 5627920568: 	Restoring 0 messages to DC 2
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 2
DataCenter, 5627920568:     	OK!
PingLoop, 5627920568:       	Ping DC 2.0
Connection, 5627920568:     	Connected to DC 1.0!
DataCenterConnection, 5627920568: 	Restoring 0 messages to DC 1
DataCenterConnection, 5627920568: 	Flushing pending messages, DC 1
DataCenter, 5627920568:     	OK!
PingLoop, 5627920568:       	Ping DC 1.0
Connection, 5627920568:     	Connected to DC 3.0!
